date,id_punto,value,x,y
2024-07-01,PzNuovo,125.611,501958.581,5033595.005
2024-09-01,PzNuovo,125.68100000000001,501958.581,5033595.005
2023-07-01,PzScannaMung,124.228,497830.258,5031645.748
2023-09-01,PzScannaMung,123.648,497830.258,5031645.748
2023-11-01,PzScannaMung,123.546,497830.258,5031645.748
2024-04-01,PzScannaMung,123.686,497830.258,5031645.748
2024-06-01,PzScannaMung,124.076,497830.258,5031645.748
2024-09-01,PzScannaMung,123.876,497830.258,5031645.748
2023-06-01,S1,127.849,502743.537,5035093.446
2023-11-01,S1,128.169,502743.537,5035093.446
2023-12-01,S1,128.099,502743.537,5035093.446
2024-01-01,S1,128.129,502743.537,5035093.446
2024-03-01,S1,128.679,502743.537,5035093.446
2024-04-01,S1,128.479,502743.537,5035093.446
2024-05-01,S1,128.229,502743.537,5035093.446
2024-06-01,S1,128.529,502743.537,5035093.446
2024-07-01,S1,128.414,502743.537,5035093.446
2024-09-01,S1,128.394,502743.537,5035093.446
2002-01-01,PO012026NU3021,168.202,486383.0,5048270.0
2002-02-01,PO012026NU3021,168.002,486383.0,5048270.0
2002-03-01,PO012026NU3021,167.852,486383.0,5048270.0
2002-04-01,PO012026NU3021,167.822,486383.0,5048270.0
2002-05-01,PO012026NU3021,168.002,486383.0,5048270.0
2002-06-01,PO012026NU3021,168.232,486383.0,5048270.0
2002-07-01,PO012026NU3021,168.102,486383.0,5048270.0
2002-08-01,PO012026NU3021,168.302,486383.0,5048270.0
2002-09-01,PO012026NU3021,168.492,486383.0,5048270.0
2002-10-01,PO012026NU3021,168.302,486383.0,5048270.0
2002-11-01,PO012026NU3021,168.602,486383.0,5048270.0
2002-12-01,PO012026NU3021,169.902,486383.0,5048270.0
2003-01-01,PO012026NU3021,171.202,486383.0,5048270.0
2003-02-01,PO012026NU3021,168.272,486383.0,5048270.0
2003-03-01,PO012026NU3021,168.572,486383.0,5048270.0
2003-04-01,PO012026NU3021,168.522,486383.0,5048270.0
2003-05-01,PO012026NU3021,168.272,486383.0,5048270.0
2003-06-01,PO012026NU3021,168.002,486383.0,5048270.0
2003-07-01,PO012026NU3021,167.672,486383.0,5048270.0
2003-08-01,PO012026NU3021,166.072,486383.0,5048270.0
2003-09-01,PO012026NU3021,168.642,486383.0,5048270.0
2003-10-01,PO012026NU3021,167.772,486383.0,5048270.0
2003-11-01,PO012026NU3021,167.97199999999998,486383.0,5048270.0
2003-12-01,PO012026NU3021,168.172,486383.0,5048270.0
2004-01-01,PO012026NU3021,168.072,486383.0,5048270.0
2004-02-01,PO012026NU3021,168.172,486383.0,5048270.0
2004-03-01,PO012026NU3021,168.072,486383.0,5048270.0
2004-04-01,PO012026NU3021,168.22199999999998,486383.0,5048270.0
2004-05-01,PO012026NU3021,168.432,486383.0,5048270.0
2004-06-01,PO012026NU3021,168.22199999999998,486383.0,5048270.0
